GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCo Coverage Report,com.syos.domain.entity,Shelf,13,42,0,0,5,18,4,11,4,11
JaCoCo Coverage Report,com.syos.domain.entity,Product,16,36,0,0,6,17,5,10,5,10
JaCoCo Coverage Report,com.syos.domain.entity,Bill,25,84,3,1,6,26,5,21,3,21
JaCoCo Coverage Report,com.syos.domain.entity,WebInventory,44,22,0,0,18,10,13,6,13,6
JaCoCo Coverage Report,com.syos.domain.entity,Customer,32,51,4,2,8,12,9,11,6,11
JaCoCo Coverage Report,com.syos.domain.entity,TransactionType,0,15,0,0,0,3,0,1,0,1
JaCoCo Coverage Report,com.syos.domain.entity,ProductStatus,0,21,0,0,0,4,0,1,0,1
JaCoCo Coverage Report,com.syos.domain.entity,ShelfInventory,44,25,0,0,18,11,13,6,13,6
JaCoCo Coverage Report,com.syos.domain.entity,AllocationTarget,32,25,4,0,5,6,4,2,2,2
JaCoCo Coverage Report,com.syos.domain.entity,UserType,15,0,0,0,3,0,1,0,1,0
JaCoCo Coverage Report,com.syos.domain.entity,WebProduct,0,56,0,0,0,23,0,12,0,12
JaCoCo Coverage Report,com.syos.domain.entity,StoreStock,9,75,0,0,3,31,3,17,3,17
JaCoCo Coverage Report,com.syos.application.reports.service,ReportGenerationService,15,118,3,9,3,32,3,11,0,6
JaCoCo Coverage Report,com.syos.application.reports.bill,BillReport,67,107,2,2,11,19,2,3,0,3
JaCoCo Coverage Report,com.syos,Main,8,0,0,0,4,0,2,0,2,0
JaCoCo Coverage Report,com.syos.domain.strategy.payment,CashPaymentStrategy,23,0,2,0,5,0,3,0,2,0
JaCoCo Coverage Report,com.syos.domain.notifications,StockEventPublisher,30,0,2,0,8,0,4,0,3,0
JaCoCo Coverage Report,com.syos.domain.notifications,ConsoleNotifier,51,0,0,0,10,0,3,0,3,0
JaCoCo Coverage Report,com.syos.application.reports.reshelf,ReshelfReport,100,116,4,2,16,19,3,4,0,4
JaCoCo Coverage Report,com.syos.data.dao,ShelfDaoImpl,343,0,18,0,87,0,19,0,10,0
JaCoCo Coverage Report,com.syos.data.dao,StoreDaoImpl,425,0,16,0,104,0,20,0,12,0
JaCoCo Coverage Report,com.syos.data.dao,CustomerDaoImpl,181,0,6,0,42,0,8,0,5,0
JaCoCo Coverage Report,com.syos.data.dao,ProductDaoImpl,199,0,10,0,45,0,11,0,6,0
JaCoCo Coverage Report,com.syos.data.dao,WebInventoryDaoImpl,369,0,20,0,95,0,20,0,10,0
JaCoCo Coverage Report,com.syos.data.dao,BillDaoImpl,520,0,26,0,128,0,24,0,11,0
JaCoCo Coverage Report,com.syos.data.dao,EmployeeDaoImpl,138,0,2,0,31,0,5,0,4,0
JaCoCo Coverage Report,com.syos.data.dao,BillItemDaoImpl,183,0,6,0,49,0,10,0,7,0
JaCoCo Coverage Report,com.syos.data.dao,BusinessDayLogDaoImpl,100,0,10,0,27,0,8,0,3,0
JaCoCo Coverage Report,com.syos.application.reports.stock,StockReport,170,105,19,1,27,24,12,4,2,4
JaCoCo Coverage Report,com.syos.interfaces.cli.customer,CustomerMain,180,0,8,0,47,0,7,0,2,0
JaCoCo Coverage Report,com.syos.interfaces.cli.customer,CustomerAuthenticationCLI,210,0,9,0,61,0,12,0,7,0
JaCoCo Coverage Report,com.syos.interfaces.cli.customer,CustomerPurchaseCLI,192,0,18,0,58,0,11,0,2,0
JaCoCo Coverage Report,com.syos.application.reports.totalsale,TotalSaleReport,161,149,18,4,20,29,11,4,0,4
JaCoCo Coverage Report,com.syos.application.reports.totalsale.fetch,OTCTotalSaleFetcher,0,12,0,0,0,4,0,2,0,2
JaCoCo Coverage Report,com.syos.application.reports.totalsale.fetch,WEBTotalSaleFetcher,0,12,0,0,0,4,0,2,0,2
JaCoCo Coverage Report,com.syos.application.reports.totalsale.fetch,AllTotalSaleFetcher,0,11,0,0,0,4,0,2,0,2
JaCoCo Coverage Report,com.syos.application.reports.reshelf.fetch,ShelfReshelfFetcher,21,14,0,0,8,6,1,2,1,2
